passage_ID,raw,mask_words,statement,raw_1sent,raw_3sent,raw_5sent,label,ori_statement
1,People also like to see the Grand Prismatic Spring.,to see the Grand Prismatic Spring,People also like to go to the grand prismatic spring to cool off after a hot day at Excelsior geyser.,People also like to see the Grand Prismatic Spring.,"Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.","Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.",0,People also like to go to the grand prismatic spring to cool off after a hot day at Excelsior geyser.
1,These are forms of life that have only one cell.,have only one cell,These are forms of life that live on the surface of water.,These are forms of life that have only one cell.,"It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.","It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.Visiting Yellowstone National Park can be a week–long vacation or more.",0,These are forms of life that live on the surface of water .
1,Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.,a height of 67 metres,"Great Fountain Geyser erupts every 11 hours up to 2,000 gallons of boiling water each minute.",Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.,"There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!","Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!",0,"Great Fountain Geyser erupts every 11 hours up to 2,000 gallons of boiling water each minute ."
1,Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.,Old Faithful is going to erupt,Visitors can check a schedule to see the precise time that it will erupt every day.,Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.,"Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.","During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.",1,Visitors can check a schedule to see the precise time that it will erupt every day .
1,"Excelsior Geyser produces 4,000 gallons of boiling water each minute!","4,000 gallons of boiling water","Excelsior geyser produces up to 1,000 litres of hot water each minute!","Excelsior Geyser produces 4,000 gallons of boiling water each minute!","Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!","There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.",0,"Excelsior geyser produces up to 1,000 litres of hot water each minute !"
1,"The grand prismatic spring has many beautiful colors, which are caused by bacteria in the water.",many beautiful colors,"The hot spring has a number of different types of bacteria, which are caused by bacteria in the water.","It has many beautiful colors, which are caused by bacteria in the water.","It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.","People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.",0,"The hot spring has a number of different types of bacteria , which are caused by bacteria in the water ."
1,Different bacteria live in different water temperatures.,different water temperatures,Different bacteria live in different parts of the park.,Different bacteria live in different water temperatures.,These are forms of life that have only one cell.Different bacteria live in different water temperatures.Visiting Yellowstone National Park can be a week–long vacation or more.,"It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.Visiting Yellowstone National Park can be a week–long vacation or more.It is beautiful, and there are activities for everyone.",1,Different bacteria live in different parts of the park .
1,Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.,Great Fountain Geyser,"Yellowstone National Park is home to the world ’s largest geyser, Yellowstone Geyser, which erupts every 11 hours up to a height of 67 metres.",Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.,"There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!","Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!",0,"Yellowstone National Park is home to the world’s largest geyser, Yellowstone Geyser , which erupts every 11 hours up to a height of 67 metres ."
1,"There are also many animals like elk, bison, sheep, grizzly bears, black bears, moose, coyotes, and more at Yellowstone.","elk , bison , sheep , grizzly bears , black bears , moose , coyotes , and more at Yellowstone",There are also many animals like grizzly bears and wolves.,"There are also many animals like elk, bison, sheep, grizzly bears, black bears, moose, coyotes, and more at Yellowstone.","There are geysers and hot springs at Yellowstone.There are also many animals like elk, bison, sheep, grizzly bears, black bears, moose, coyotes, and more at Yellowstone.More than 3 million people visit Yellowstone each year.","It became the first National Park in 1872.There are geysers and hot springs at Yellowstone.There are also many animals like elk, bison, sheep, grizzly bears, black bears, moose, coyotes, and more at Yellowstone.More than 3 million people visit Yellowstone each year.During the winter, visitors can ski, go snowmobiling or join tours there.",1,There are also many animals like grizzly bears and wolves .
1,"During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.",nature trails and tours,"Visitors are able to go horse-riding, boating, fishing or take a guided tour of the park.","During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.","Visitors can see steam and water from the geysers.During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.","During the winter, visitors can ski, go snowmobiling or join tours there.Visitors can see steam and water from the geysers.During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.",0,"During the summer , visitors are able to go horse - riding , boating , fishing or take a guided tour of the park ."
